date,cash_rate,scrape_date
2023-01-01,3.0649999999999977,2023-01-12
2023-02-01,3.2150000000000034,2023-01-12
2023-03-01,3.3700000000000045,2023-01-12
2023-04-01,3.4650000000000034,2023-01-12
2023-05-01,3.555000000000007,2023-01-12
2023-06-01,3.625,2023-01-12
2023-07-01,3.700000000000003,2023-01-12
2023-08-01,3.760000000000005,2023-01-12
2023-09-01,3.7650000000000006,2023-01-12
2023-10-01,3.7650000000000006,2023-01-12
2023-11-01,3.7650000000000006,2023-01-12
2023-12-01,3.739999999999995,2023-01-12
2024-01-01,3.730000000000004,2023-01-12
2024-02-01,3.700000000000003,2023-01-12
2024-03-01,3.6500000000000057,2023-01-12
2024-04-01,3.5999999999999943,2023-01-12
2024-05-01,3.5649999999999977,2023-01-12
2024-06-01,3.519999999999996,2023-01-12
